Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2024-03-04,4,10,3,1,2024,False,Summer,None,False
2024-03-05,5,10,3,1,2024,False,Summer,None,False
2024-03-06,6,10,3,1,2024,False,Summer,None,False
2024-03-07,7,10,3,1,2024,False,Summer,None,False
2024-03-08,8,10,3,1,2024,False,Summer,None,False
2024-03-09,9,10,3,1,2024,True,Summer,None,False
2024-03-10,10,10,3,1,2024,True,Summer,None,False
2024-03-11,11,11,3,1,2024,False,Summer,None,False
2024-03-12,12,11,3,1,2024,False,Summer,None,False
2024-03-13,13,11,3,1,2024,False,Summer,None,False
2024-03-14,14,11,3,1,2024,False,Summer,None,False
2024-03-15,15,11,3,1,2024,False,Summer,None,False
2024-03-16,16,11,3,1,2024,True,Summer,None,False
2024-03-17,17,11,3,1,2024,True,Summer,None,False
2024-03-18,18,12,3,1,2024,False,Summer,None,False
2024-03-19,19,12,3,1,2024,False,Summer,None,False
2024-03-20,20,12,3,1,2024,False,Summer,None,False
2024-03-21,21,12,3,1,2024,False,Summer,None,False
2024-03-22,22,12,3,1,2024,False,Summer,None,False
2024-03-23,23,12,3,1,2024,True,Summer,None,False
2024-03-24,24,12,3,1,2024,True,Summer,None,False
2024-03-25,25,13,3,1,2024,False,Summer,None,False
2024-03-26,26,13,3,1,2024,False,Summer,None,False
2024-03-27,27,13,3,1,2024,False,Summer,None,False
2024-03-28,28,13,3,1,2024,False,Summer,None,False
2024-03-29,29,13,3,1,2024,False,Summer,None,False
2024-03-30,30,13,3,1,2024,True,Summer,None,False
2024-03-31,31,13,3,1,2024,True,Summer,None,False
2024-04-01,1,14,4,2,2024,False,Summer,None,False
2024-04-02,2,14,4,2,2024,False,Summer,None,False
2024-04-03,3,14,4,2,2024,False,Summer,None,False
2024-04-04,4,14,4,2,2024,False,Summer,None,False
2024-04-05,5,14,4,2,2024,False,Summer,None,False
2024-04-06,6,14,4,2,2024,True,Summer,None,False
2024-04-07,7,14,4,2,2024,True,Summer,None,False
2024-04-08,8,15,4,2,2024,False,Summer,None,False
2024-04-09,9,15,4,2,2024,False,Summer,None,False
2024-04-10,10,15,4,2,2024,False,Summer,None,False
2024-04-11,11,15,4,2,2024,False,Summer,None,False
2024-04-12,12,15,4,2,2024,False,Summer,None,False
2024-04-13,13,15,4,2,2024,True,Summer,None,False
2024-04-14,14,15,4,2,2024,True,Summer,None,False
2024-04-15,15,16,4,2,2024,False,Summer,None,False
2024-04-16,16,16,4,2,2024,False,Summer,None,False
2024-04-17,17,16,4,2,2024,False,Summer,None,False
2024-04-18,18,16,4,2,2024,False,Summer,None,False
2024-04-19,19,16,4,2,2024,False,Summer,None,False
2024-04-20,20,16,4,2,2024,True,Summer,None,False
2024-04-21,21,16,4,2,2024,True,Summer,None,False
2024-04-22,22,17,4,2,2024,False,Summer,None,False
2024-04-23,23,17,4,2,2024,False,Summer,None,False
2024-04-24,24,17,4,2,2024,False,Summer,None,False
2024-04-25,25,17,4,2,2024,False,Summer,None,False
2024-04-26,26,17,4,2,2024,False,Summer,None,False
2024-04-27,27,17,4,2,2024,True,Summer,None,False
2024-04-28,28,17,4,2,2024,True,Summer,None,False
2024-04-29,29,18,4,2,2024,False,Summer,None,False
2024-04-30,30,18,4,2,2024,False,Summer,None,False
2024-05-01,1,18,5,2,2024,False,Summer,None,False
2024-05-02,2,18,5,2,2024,False,Summer,None,False
2024-05-03,3,18,5,2,2024,False,Summer,None,False
2024-05-04,4,18,5,2,2024,True,Summer,None,False
2024-05-05,5,18,5,2,2024,True,Summer,None,False
2024-05-06,6,19,5,2,2024,False,Summer,None,False
2024-05-07,7,19,5,2,2024,False,Summer,None,False
2024-05-08,8,19,5,2,2024,False,Summer,None,False
2024-05-09,9,19,5,2,2024,False,Summer,None,False
2024-05-10,10,19,5,2,2024,False,Summer,None,False
2024-05-11,11,19,5,2,2024,True,Summer,None,False
2024-05-12,12,19,5,2,2024,True,Summer,None,False
2024-05-13,13,20,5,2,2024,False,Summer,None,False
2024-05-14,14,20,5,2,2024,False,Summer,None,False
2024-05-15,15,20,5,2,2024,False,Summer,None,False
2024-05-16,16,20,5,2,2024,False,Summer,None,False
2024-05-17,17,20,5,2,2024,False,Summer,None,False
2024-05-18,18,20,5,2,2024,True,Summer,None,False
2024-05-19,19,20,5,2,2024,True,Summer,None,False
2024-05-20,20,21,5,2,2024,False,Summer,None,False
2024-05-21,21,21,5,2,2024,False,Summer,None,False
2024-05-22,22,21,5,2,2024,False,Summer,None,False
2024-05-23,23,21,5,2,2024,False,Summer,None,False
2024-05-24,24,21,5,2,2024,False,Summer,None,False
2024-05-25,25,21,5,2,2024,True,Summer,None,False
2024-05-26,26,21,5,2,2024,True,Summer,None,False
2024-05-27,27,22,5,2,2024,False,Summer,None,False
2024-05-28,28,22,5,2,2024,False,Summer,None,False
2024-05-29,29,22,5,2,2024,False,Summer,None,False
2024-05-30,30,22,5,2,2024,False,Summer,None,False
2024-05-31,31,22,5,2,2024,False,Summer,None,False
2024-06-01,1,22,6,2,2024,True,Monsoon,None,False
2024-06-02,2,22,6,2,2024,True,Monsoon,None,False
2024-06-03,3,23,6,2,2024,False,Monsoon,None,False
2024-06-04,4,23,6,2,2024,False,Monsoon,None,False
2024-06-05,5,23,6,2,2024,False,Monsoon,None,False
2024-06-06,6,23,6,2,2024,False,Monsoon,None,False
2024-06-07,7,23,6,2,2024,False,Monsoon,None,False
2024-06-08,8,23,6,2,2024,True,Monsoon,None,False
2024-06-09,9,23,6,2,2024,True,Monsoon,None,False
2024-06-10,10,24,6,2,2024,False,Monsoon,None,False
2024-06-11,11,24,6,2,2024,False,Monsoon,None,False
2024-06-12,12,24,6,2,2024,False,Monsoon,None,False
2024-06-13,13,24,6,2,2024,False,Monsoon,None,False
2024-06-14,14,24,6,2,2024,False,Monsoon,None,False
2024-06-15,15,24,6,2,2024,True,Monsoon,None,False
2024-06-16,16,24,6,2,2024,True,Monsoon,None,False
2024-06-17,17,25,6,2,2024,False,Monsoon,None,False
2024-06-18,18,25,6,2,2024,False,Monsoon,None,False
2024-06-19,19,25,6,2,2024,False,Monsoon,None,False
2024-06-20,20,25,6,2,2024,False,Monsoon,None,False
2024-06-21,21,25,6,2,2024,False,Monsoon,None,False
2024-06-22,22,25,6,2,2024,True,Monsoon,None,False
2024-06-23,23,25,6,2,2024,True,Monsoon,None,False
2024-06-24,24,26,6,2,2024,False,Monsoon,None,False
2024-06-25,25,26,6,2,2024,False,Monsoon,None,False
2024-06-26,26,26,6,2,2024,False,Monsoon,None,False
2024-06-27,27,26,6,2,2024,False,Monsoon,None,False
2024-06-28,28,26,6,2,2024,False,Monsoon,None,False
2024-06-29,29,26,6,2,2024,True,Monsoon,None,False
2024-06-30,30,26,6,2,2024,True,Monsoon,None,False
2024-07-01,1,27,7,3,2024,False,Monsoon,None,False
2024-07-02,2,27,7,3,2024,False,Monsoon,None,False
2024-07-03,3,27,7,3,2024,False,Monsoon,None,False
2024-07-04,4,27,7,3,2024,False,Monsoon,None,False
2024-07-05,5,27,7,3,2024,False,Monsoon,None,False
2024-07-06,6,27,7,3,2024,True,Monsoon,None,False
2024-07-07,7,27,7,3,2024,True,Monsoon,None,False
2024-07-08,8,28,7,3,2024,False,Monsoon,None,False
2024-07-09,9,28,7,3,2024,False,Monsoon,None,False
2024-07-10,10,28,7,3,2024,False,Monsoon,None,False
2024-07-11,11,28,7,3,2024,False,Monsoon,None,False
2024-07-12,12,28,7,3,2024,False,Monsoon,None,False
2024-07-13,13,28,7,3,2024,True,Monsoon,None,False
2024-07-14,14,28,7,3,2024,True,Monsoon,None,False
2024-07-15,15,29,7,3,2024,False,Monsoon,None,False
2024-07-16,16,29,7,3,2024,False,Monsoon,None,False
2024-07-17,17,29,7,3,2024,False,Monsoon,None,False
